State,District,Latitude,Longitude,District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ratio,literacy_rate
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,148926,1016,101.0,68.37
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,614109,16141,98.79,68.88
Chhattisgarh,Jashpur,22.772861676646695,83.8703962075848,402,851669,76783,567,100.51,58.17
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,202380,4544,96.87,62.05
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,80023,1667,96.85,60.38
Chhattisgarh,Mahasamund,21.22372703777335,82.65925427435384,411,1032754,212487,961,101.72,61.77
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,297308,3342,99.12,63.7
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,547206,38570,95.95,73.65
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,728556,20261,98.41,64.71
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,253131,2737,97.79,50.34
Daman and Diu,Daman,20.43161666666667,72.8392366071429,495,191173,49249,1316,53.36,78.64
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,498326,6628,95.33,67.18
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,173951,23440,96.32,81.06
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,138810,17624,98.64,78.44
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,1456046,126341,90.45,75.35
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,273331,2538,96.38,65.74
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,378310,9902,92.49,74.13
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,396873,3424,93.77,54.64
Gujarat,Bharuch,21.757872762377612,72.67326346710801,488,1551019,309091,10257,92.5,72.1
Gujarat,Bhavnagar,21.702193903417356,72.16272632761141,481,2880365,500757,7297,93.29,65.52
Gujarat,Gandhinagar,23.193679790026255,72.67221679790026,473,1391753,262539,12107,92.27,74.04
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,386538,11573,93.87,64.65
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,498326,6628,95.33,67.18
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,403294,9631,90.78,59.85
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,372226,5710,93.96,72.19
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,385609,7759,92.62,73.84
Gujarat,Narmada,21.706663862928337,73.68403208722742,487,590297,101940,576,96.06,62.74
